id;text;locale_key;group;link;external_link;target;icon;disabled;hide;hide_in_breadcrumb;shortcut;shortcut_root;reuse;code;description;type;order;api_permission_codes;parent_id;component_file;redirect
200;查看行政区划码;;false;/settings/region-code/:entityId/detail;;SELF;;false;true;false;false;false;false;systemRegionCodeDetail;;MENU;1;;54;settings/region-code/region-code-detail;
201;填充规则;;false;/settings/sys-fill-rule;;SELF;;false;false;false;false;false;false;systemSysFillRuleList;;MENU;1;;54;settings/sys-fill-rule/sys-fill-rule-list;
202;新建填充规则;;false;;;SELF;;false;true;false;false;false;false;system:sysFillRule:new;;BUTTON;1;;201;;
203;编辑填充规则;;false;;;SELF;;false;true;false;false;false;false;system:sysFillRule:edit;;BUTTON;1;;201;;
204;查看填充规则;;false;;;SELF;;false;true;false;false;false;false;system:sysFillRule:detail;;BUTTON;1;;201;;
205;删除填充规则;;false;;;SELF;;false;true;false;false;false;false;system:sysFillRule:delete;;BUTTON;1;;201;;
206;导入填充规则;;false;;;SELF;;false;true;false;false;false;false;system:sysFillRule:import;;BUTTON;1;;201;;
207;导出填充规则;;false;;;SELF;;false;true;false;false;false;false;system:sysFillRule:export;;BUTTON;1;;201;;
208;打印填充规则;;false;;;SELF;;false;true;false;false;false;false;system:sysFillRule:print;;BUTTON;1;;201;;
209;列配置填充规则;;false;;;SELF;;false;true;false;false;false;false;system:sysFillRule:customColumn;;BUTTON;1;;201;;
210;编辑填充规则;;false;/settings/sys-fill-rule/:entityId/edit;;SELF;;false;true;false;false;false;false;systemSysFillRuleEdit;;MENU;1;;54;settings/sys-fill-rule/sys-fill-rule-edit;
211;新建填充规则;;false;/settings/sys-fill-rule/new;;SELF;;false;true;false;false;false;false;systemSysFillRuleNew;;MENU;1;;54;settings/sys-fill-rule/sys-fill-rule-edit;
212;查看填充规则;;false;/settings/sys-fill-rule/:entityId/detail;;SELF;;false;true;false;false;false;false;systemSysFillRuleDetail;;MENU;1;;54;settings/sys-fill-rule/sys-fill-rule-detail;
213;报表存储;;false;/report/u-report-file;;SELF;;false;false;false;false;false;false;reportUReportFileList;;MENU;1;;5;report/u-report-file/u-report-file-list;
214;新建报表存储;;false;;;SELF;;false;true;false;false;false;false;report:uReportFile:new;;BUTTON;1;;213;;
215;编辑报表存储;;false;;;SELF;;false;true;false;false;false;false;report:uReportFile:edit;;BUTTON;1;;213;;
216;查看报表存储;;false;;;SELF;;false;true;false;false;false;false;report:uReportFile:detail;;BUTTON;1;;213;;
217;删除报表存储;;false;;;SELF;;false;true;false;false;false;false;report:uReportFile:delete;;BUTTON;1;;213;;
218;导入报表存储;;false;;;SELF;;false;true;false;false;false;false;report:uReportFile:import;;BUTTON;1;;213;;
219;导出报表存储;;false;;;SELF;;false;true;false;false;false;false;report:uReportFile:export;;BUTTON;1;;213;;
220;打印报表存储;;false;;;SELF;;false;true;false;false;false;false;report:uReportFile:print;;BUTTON;1;;213;;
221;列配置报表存储;;false;;;SELF;;false;true;false;false;false;false;report:uReportFile:customColumn;;BUTTON;1;;213;;
222;编辑报表存储;;false;/report/u-report-file/:entityId/edit;;SELF;;false;true;false;false;false;false;reportUReportFileEdit;;MENU;1;;5;report/u-report-file/u-report-file-edit;
223;新建报表存储;;false;/report/u-report-file/new;;SELF;;false;true;false;false;false;false;reportUReportFileNew;;MENU;1;;5;report/u-report-file/u-report-file-edit;
224;查看报表存储;;false;/report/u-report-file/:entityId/detail;;SELF;;false;true;false;false;false;false;reportUReportFileDetail;;MENU;1;;5;report/u-report-file/u-report-file-detail;
225;短信消息;;false;/system/sms-message;;SELF;;false;false;false;false;false;false;systemSmsMessageList;;MENU;1;;3;system/sms-message/sms-message-list;
226;新建短信消息;;false;;;SELF;;false;true;false;false;false;false;system:smsMessage:new;;BUTTON;1;;225;;
227;编辑短信消息;;false;;;SELF;;false;true;false;false;false;false;system:smsMessage:edit;;BUTTON;1;;225;;
228;查看短信消息;;false;;;SELF;;false;true;false;false;false;false;system:smsMessage:detail;;BUTTON;1;;225;;
229;删除短信消息;;false;;;SELF;;false;true;false;false;false;false;system:smsMessage:delete;;BUTTON;1;;225;;
230;导入短信消息;;false;;;SELF;;false;true;false;false;false;false;system:smsMessage:import;;BUTTON;1;;225;;
231;导出短信消息;;false;;;SELF;;false;true;false;false;false;false;system:smsMessage:export;;BUTTON;1;;225;;
232;打印短信消息;;false;;;SELF;;false;true;false;false;false;false;system:smsMessage:print;;BUTTON;1;;225;;
233;列配置短信消息;;false;;;SELF;;false;true;false;false;false;false;system:smsMessage:customColumn;;BUTTON;1;;225;;
234;编辑短信消息;;false;/system/sms-message/:entityId/edit;;SELF;;false;true;false;false;false;false;systemSmsMessageEdit;;MENU;1;;3;system/sms-message/sms-message-edit;
235;新建短信消息;;false;/system/sms-message/new;;SELF;;false;true;false;false;false;false;systemSmsMessageNew;;MENU;1;;3;system/sms-message/sms-message-edit;
236;查看短信消息;;false;/system/sms-message/:entityId/detail;;SELF;;false;true;false;false;false;false;systemSmsMessageDetail;;MENU;1;;3;system/sms-message/sms-message-detail;
237;系统通告;;false;/system/announcement;;SELF;;false;false;false;false;false;false;systemAnnouncementList;;MENU;1;;3;system/announcement/announcement-list;
238;新建系统通告;;false;;;SELF;;false;true;false;false;false;false;system:announcement:new;;BUTTON;1;;237;;
239;编辑系统通告;;false;;;SELF;;false;true;false;false;false;false;system:announcement:edit;;BUTTON;1;;237;;
240;查看系统通告;;false;;;SELF;;false;true;false;false;false;false;system:announcement:detail;;BUTTON;1;;237;;
241;删除系统通告;;false;;;SELF;;false;true;false;false;false;false;system:announcement:delete;;BUTTON;1;;237;;
242;导入系统通告;;false;;;SELF;;false;true;false;false;false;false;system:announcement:import;;BUTTON;1;;237;;
243;导出系统通告;;false;;;SELF;;false;true;false;false;false;false;system:announcement:export;;BUTTON;1;;237;;
244;打印系统通告;;false;;;SELF;;false;true;false;false;false;false;system:announcement:print;;BUTTON;1;;237;;
245;列配置系统通告;;false;;;SELF;;false;true;false;false;false;false;system:announcement:customColumn;;BUTTON;1;;237;;
246;编辑系统通告;;false;/system/announcement/:entityId/edit;;SELF;;false;true;false;false;false;false;systemAnnouncementEdit;;MENU;1;;3;system/announcement/announcement-edit;
247;新建系统通告;;false;/system/announcement/new;;SELF;;false;true;false;false;false;false;systemAnnouncementNew;;MENU;1;;3;system/announcement/announcement-edit;
248;查看系统通告;;false;/system/announcement/:entityId/detail;;SELF;;false;true;false;false;false;false;systemAnnouncementDetail;;MENU;1;;3;system/announcement/announcement-detail;
249;定时任务;;false;/taskjob;;SELF;ant-design:project-outline;false;false;false;false;false;false;taskjob;;MENU;1;;;LAYOUT;
250;任务配置;;false;/taskjob/task-job-config;;SELF;;false;false;false;false;false;false;taskjobTaskJobConfigList;;MENU;1;;249;taskjob/task-job-config/task-job-config-list;
251;新建任务配置;;false;;;SELF;;false;true;false;false;false;false;taskjob:taskJobConfig:new;;BUTTON;1;;250;;
252;编辑任务配置;;false;;;SELF;;false;true;false;false;false;false;taskjob:taskJobConfig:edit;;BUTTON;1;;250;;
